rank gene description N n npat nsite nsil *CpG3>T Tp*Cp(A/C/T)3>(T/G) *CpG3>(G/A) (A/G/T)p*G3>T (A/C/G)p*Cp(A/C/T)3>(T/G) A3>mut indel+null p q
1 TP53 tumorBproteinBp53 90636 49 46 44 1 6 2 2 2 8 6 23 <1.00e311 <9.43e308
2 CDKN2A cyclin3dependentBkinaseBinhibitorB2AB(melanoma,Bp16,BinhibitsBCDK4) 52520 9 9 9 0 0 0 1 1 2 0 5 <1.00e311 <9.43e308
3 PRDM9 PRBdomainBcontainingB9 200800 9 9 9 2 1 0 0 3 1 3 1 1.50E308 0.000094
4 CASP8 caspaseB8,Bapoptosis3relatedBcysteineBpeptidase 129651 6 6 5 0 0 0 0 0 0 1 5 8.01E308 0.00038
5 FAT1 1019417 11 9 11 0 2 0 0 0 0 0 9 1.53E307 0.00058
6 CSMD3 CUBBandBSushiBmultipleBdomainsB3 844688 13 12 13 5 2 2 1 4 3 0 1 2.78E307 0.00088
7 COL22A1 collagen,BtypeBXXII,BalphaB1 336851 10 9 10 3 0 2 1 3 2 0 2 3.40E307 0.00092
8 NOTCH1 NotchBhomologB1,Btranslocation3associatedB(Drosophila) 399201 10 10 10 1 3 0 0 0 2 0 5 4.32E307 0.001
9 PTEN phosphataseBandBtensinBhomologB(mutatedBinBmultipleBadvancedBcancersB1) 85211 5 5 5 0 1 0 0 1 1 0 2 1.03E306 0.0022
10 SYNE1 spectrinBrepeatBcontaining,BnuclearBenvelopeB1 1988656 23 15 23 3 2 5 1 4 1 6 4 3.02E306 0.0054
11 HRAS v3Ha3rasBHarveyBratBsarcomaBviralBoncogeneBhomolog 45365 4 4 3 0 0 0 0 2 2 0 0 3.21E306 0.0054
12 RIMS2 regulatingBsynapticBmembraneBexocytosisB2 317199 9 8 9 1 2 2 0 2 1 2 0 3.41E306 0.0054
13 USH2A UsherBsyndromeB2AB(autosomalBrecessive,Bmild) 1172874 15 11 15 2 0 3 1 1 4 5 1 7.60E306 0.011
14 C19orf26 chromosomeB19BopenBreadingBframeB26 59860 4 2 4 0 0 3 0 0 1 0 0 0.000016 0.022
15 MAGEC1 melanomaBantigenBfamilyBC,B1 253360 6 4 6 1 0 0 1 1 2 1 1 0.000021 0.026
16 CLSTN2 calsynteninB2 204299 6 6 6 2 1 0 1 0 1 2 1 0.000031 0.037
17 KCTD8 potassiumBchannelBtetramerisationBdomainBcontainingB8 76929 4 4 4 0 0 1 2 1 0 0 0 0.000037 0.042
18 THSD7A thrombospondin,BtypeBI,BdomainBcontainingB7A 360780 7 7 7 4 2 0 1 1 2 0 1 0.000042 0.044
19 PIK3CA phosphoinositide333kinase,Bcatalytic,BalphaBpolypeptide 242191 6 6 5 0 0 2 1 0 0 3 0 0.000045 0.045
20 OR4C15 olfactoryBreceptor,BfamilyB4,BsubfamilyBC,BmemberB15 82293 4 4 4 1 1 1 0 1 0 1 0 0.000052 0.049
21 ALLC allantoicase 85678 4 3 4 0 0 0 1 1 0 1 1 0.000057 0.051
22 PRB4 proline3richBproteinBBstNIBsubfamilyB4 55944 3 3 3 0 0 0 1 1 0 0 1 0.000061 0.051
23 CDH10 cadherinB10,BtypeB2B(T23cadherin) 177817 5 5 5 3 1 0 0 3 0 1 0 0.000062 0.051
24 GRM8 glutamateBreceptor,BmetabotropicB8 205394 5 5 5 1 1 0 1 2 0 0 1 0.000087 0.065
25 NETO2 neuropilinB(NRP)BandBtolloidB(TLL)3likeB2 116624 4 4 4 0 1 0 0 0 2 0 1 0.000087 0.065
26 VN1R4 vomeronasalB1BreceptorB4 66125 3 3 3 0 0 0 1 0 0 2 0 0.0001 0.072
27 OR5L2 olfactoryBreceptor,BfamilyB5,BsubfamilyBL,BmemberB2 69526 3 2 3 0 0 0 1 0 1 0 1 0.0001 0.073
28 PPP1R9A proteinBphosphataseB1,BregulatoryB(inhibitor)BsubunitB9A 295497 6 6 6 2 0 2 1 1 0 0 2 0.00011 0.073
29 MAFA v3mafBmusculoaponeuroticBfibrosarcomaBoncogeneBhomologBAB(avian) 17034 2 2 1 0 0 0 0 0 0 0 2 0.00013 0.082
30 LRFN5 leucineBrichBrepeatBandBfibronectinBtypeBIIIBdomainBcontainingB5 160748 5 5 5 4 0 1 0 2 0 2 0 0.00013 0.082
31 MED1 mediatorBcomplexBsubunitB1 355333 7 4 7 0 0 4 0 2 1 0 0 0.00013 0.082
32 ADCY8 adenylateBcyclaseB8B(brain) 260795 6 6 6 0 2 0 1 1 1 0 1 0.00015 0.087
33 ZFHX4 zincBfingerBhomeoboxB4 726687 10 9 10 3 0 3 0 1 1 5 0 0.00016 0.089
34 MLL2 myeloid/lymphoidBorBmixed3lineageBleukemiaB2 1016105 9 8 9 0 2 0 0 1 0 0 6 0.00016 0.089
35 SI sucrase3isomaltaseB(alpha3glucosidase) 410994 7 6 7 4 1 1 0 3 0 2 0 0.00016 0.089
36 ZNF804B zincBfingerBproteinB804B 300421 6 6 5 2 0 2 0 2 0 0 2 0.00017 0.09
